time,value
2024-09-04T11:56:24.469408518Z,4.981856822967529
2024-09-04T11:56:25.473463866Z,7.0995049476623535
2024-09-04T11:56:26.692125988Z,5.405386447906494
2024-09-04T11:56:27.999204162Z,5.158327579498291
2024-09-04T11:56:28.961986616Z,7.10010290145874
2024-09-04T11:56:29.691070803Z,5.054239749908447
2024-09-04T11:56:30.692814004Z,5.433502197265625
2024-09-04T11:56:31.688375733Z,7.071389198303223
2024-09-04T11:56:32.685731528Z,3.7226338386535645
2024-09-04T11:56:33.698190277Z,6.203990936279297
2024-09-04T11:56:34.708221184Z,6.300900459289551
2024-09-04T11:56:35.712168765Z,3.737588882446289
2024-09-04T11:56:36.735150945Z,7.055835723876953
2024-09-04T11:56:37.724996511Z,4.265804767608643
2024-09-04T11:56:38.713674826Z,4.951946258544922
2024-09-04T11:56:39.735408756Z,7.716853141784668
2024-09-04T11:56:40.723137223Z,4.027120590209961
2024-09-04T11:56:41.72337572Z,5.569892883300781
2024-09-04T11:56:42.743694306Z,8.175676345825195
2024-09-04T11:56:43.746472899Z,5.913861274719238
2024-09-04T11:56:44.733329725Z,5.727818965911865
2024-09-04T11:56:45.73824322Z,8.452047348022461
2024-09-04T11:56:46.755492515Z,7.334599494934082
2024-09-04T11:56:47.757208581Z,4.926821708679199
2024-09-04T11:56:48.757231338Z,6.973283290863037
2024-09-04T11:56:49.770940479Z,7.45782995223999
2024-09-04T11:56:50.768711763Z,5.340181827545166
2024-09-04T11:56:51.778455845Z,7.6911301612854
2024-09-04T11:56:52.770846759Z,7.672585964202881
2024-09-04T11:57:09.575570031Z,4.683351993560791
2024-09-04T11:57:10.606607135Z,7.372884750366211
2024-09-04T11:57:11.608683964Z,3.6263227462768555
2024-09-04T11:57:12.555821059Z,8.364709854125977
2024-09-04T11:57:13.545526327Z,6.521039962768555
2024-09-04T11:57:14.527167442Z,4.931607246398926
2024-09-04T11:57:15.51539442Z,3.3517463207244873
2024-09-04T11:57:16.506566752Z,9.042476654052734
2024-09-04T11:57:17.508527191Z,3.0837502479553223
2024-09-04T11:57:18.526227366Z,5.431109428405762
2024-09-04T11:57:19.470036415Z,5.431109428405762
2024-09-04T11:57:20.444308131Z,7.191030025482178
