time,X,Y,Z
08:51,5.468197822570801,6.616154670715332,2.534597396850586
08:57,3.0376882553100586,0.35533416271209717,2.534597396850586
09:02,3.1483564376831055,0.2757728099822998,9.504291534423828
09:05,1.9968105554580688,0.3439682424068451,9.373284339904785
09:11,2.7415764331817627,0.14416755735874176,9.373284339904785
09:14,2.7493531703948975,0.10348957777023315,9.470193862915039
09:17,2.665006160736084,-0.040677983313798904,9.464810371398926
09:25,2.217548370361328,0.2231307178735733,9.516854286193848
09:28,3.0687949657440186,0.04366901144385338,9.609575271606445
09:31,2.6494529247283936,0.4546363055706024,9.268000602722168
