Timestamp,Distance (cm)
30/07/2024 22:13,302 cm
30/07/2024 22:13,19 cm
30/07/2024 22:13,13 cm
30/07/2024 22:13,17 cm
30/07/2024 22:13,17 cm
30/07/2024 22:13,16 cm
30/07/2024 22:13,303 cm
30/07/2024 22:13,302 cm
30/07/2024 22:13,16 cm
30/07/2024 22:13,304 cm
30/07/2024 22:13,19 cm
30/07/2024 22:13,24 cm
30/07/2024 22:13,69 cm
30/07/2024 22:13,1185 cm
30/07/2024 22:13,303 cm
30/07/2024 22:13,303 cm
30/07/2024 22:13,302 cm
30/07/2024 22:13,302 cm
30/07/2024 22:13,302 cm
30/07/2024 22:13,303 cm
30/07/2024 22:13,302 cm
30/07/2024 22:13,302 cm
30/07/2024 22:13,302 cm
30/07/2024 22:13,303 cm
30/07/2024 22:13,302 cm
30/07/2024 22:13,302 cm
30/07/2024 22:13,301 cm
30/07/2024 22:13,302 cm
30/07/2024 22:13,302 cm
30/07/2024 22:13,303 cm
30/07/2024 22:13,302 cm
30/07/2024 22:13,303 cm
30/07/2024 22:13,303 cm
30/07/2024 22:13,303 cm
30/07/2024 22:13,303 cm
30/07/2024 22:13,302 cm
30/07/2024 22:13,302 cm
30/07/2024 22:13,303 cm
30/07/2024 22:13,302 cm
30/07/2024 22:13,303 cm
30/07/2024 22:13,302 cm
30/07/2024 22:13,302 cm
30/07/2024 22:13,302 cm
30/07/2024 22:13,303 cm
30/07/2024 22:13,302 cm
30/07/2024 22:13,302 cm
30/07/2024 22:13,303 cm
30/07/2024 22:13,302 cm
30/07/2024 22:13,303 cm
30/07/2024 22:13,302 cm
30/07/2024 22:14,303 cm
30/07/2024 22:14,303 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,303 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,292 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,303 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,303 cm
30/07/2024 22:14,303 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,291 cm
30/07/2024 22:14,303 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,304 cm
30/07/2024 22:14,302 cm
30/07/2024 22:14,302 cm
