time,temperature
2024-08-01T10:23:20.014496831Z,27.10000038
2024-08-01T10:23:22.063170334Z,27.20000076
2024-08-01T10:23:26.15840384Z,27.10000038
2024-08-01T10:23:28.207161824Z,27.20000076
2024-08-01T10:23:36.296651502Z,27.10000038
2024-08-01T10:23:38.344953174Z,27.20000076
2024-08-01T10:23:42.542784032Z,27.10000038
2024-08-01T10:23:44.487972957Z,27.20000076
2024-08-01T10:23:46.535982811Z,27.10000038
2024-08-01T10:23:52.680183575Z,27.20000076
2024-08-01T10:23:56.673942389Z,27.10000038
2024-08-01T10:24:15.106537874Z,27.20000076
2024-08-01T10:24:17.051078125Z,27.10000038
2024-08-01T10:24:21.160678467Z,27.20000076
2024-08-01T10:24:23.195428561Z,27.10000038
2024-08-01T10:24:27.291374969Z,27.20000076
2024-08-01T10:24:29.339497534Z,27.10000038
2024-08-01T10:24:31.387736465Z,27.20000076
2024-08-01T10:24:33.435842515Z,27.10000038
2024-08-01T10:24:43.573025545Z,27.20000076
2024-08-01T10:24:45.624473642Z,27.10000038
2024-08-01T10:25:03.952616804Z,27.20000076
2024-08-01T10:25:06.001264567Z,27.10000038
2024-08-01T10:25:12.143068183Z,27.20000076
2024-08-01T10:25:14.190777027Z,27.10000038
2024-08-01T10:26:51.983355615Z,27
2024-08-01T10:26:55.976540809Z,27.10000038
2024-08-01T10:26:58.024382222Z,27
2024-08-01T10:27:51.074864698Z,26.89999962
2024-08-01T10:27:53.116288492Z,27
2024-08-01T10:27:59.157510629Z,26.89999962
2024-08-01T10:28:46.057383339Z,26.79999924
2024-08-01T10:29:45.142002369Z,26.70000076
