timestamp,X,Y,Z
2024-08-13T12:11:24,0.73,-0.31,-0.06
2024-08-13T12:11:24,0.55,-0.24,-0.12
2024-08-13T12:11:24,0.61,-0.24,-0.06
2024-08-13T12:11:25,0.49,-0.24,-0.06
2024-08-13T12:11:25,0.73,-0.31,-0.06
2024-08-13T12:11:25,-0.37,-0.24,-0.12
2024-08-13T12:11:25,1.16,-0.31,-0.06
2024-08-13T12:11:26,-0.12,-0.24,-0.12
2024-08-13T12:11:26,1.46,-0.31,-0.06
2024-08-13T12:11:26,0,-0.24,-0.12
2024-08-13T12:11:26,0.49,-0.24,-0.06
2024-08-13T12:11:27,0.73,-0.31,-0.06
2024-08-13T12:11:27,-0.43,-0.24,-0.12
2024-08-13T12:11:27,0.67,-0.31,-0.06
2024-08-13T12:11:27,1.04,-0.31,-0.12
2024-08-13T12:11:28,0.43,-0.24,-0.06
2024-08-13T12:11:28,0.73,-0.24,-0.12
2024-08-13T12:11:28,0.73,-0.24,-0.06
2024-08-13T12:11:28,0.31,-0.31,-0.06
2024-08-13T12:11:28,1.16,-0.31,-0.06
2024-08-13T12:11:29,0.37,-0.24,-0.06
2024-08-13T12:11:29,0.73,-0.24,-0.06
2024-08-13T12:11:29,0.85,-0.24,-0.12
2024-08-13T12:11:29,0.61,-0.24,-0.06
2024-08-13T12:11:30,0,-0.24,-0.12
2024-08-13T12:11:30,1.1,-0.31,-0.06
2024-08-13T12:11:30,0.49,-0.24,-0.06
2024-08-13T12:11:30,0.24,-0.24,-0.06
2024-08-13T12:11:31,0.55,-0.31,-0.12
2024-08-13T12:11:31,0.79,-0.24,-0.12
2024-08-13T12:11:31,0.61,-0.24,-0.12
2024-08-13T12:11:31,0.92,-0.31,-0.12
2024-08-13T12:11:32,0.49,-0.24,-0.06
2024-08-13T12:11:32,0.79,-0.24,-0.06
2024-08-13T12:11:32,0.24,-0.24,-0.12
2024-08-13T12:11:32,0.67,-0.24,-0.12
2024-08-13T12:11:32,1.1,-0.31,-0.06
2024-08-13T12:11:33,0.67,-0.18,-0.06
2024-08-13T12:11:33,0.12,-0.24,-0.12
2024-08-13T12:11:33,0.98,-0.24,-0.12
2024-08-13T12:11:33,0.67,-0.31,-0.12
2024-08-13T12:11:34,0.37,-0.24,-0.06
2024-08-13T12:11:34,0.79,-0.31,-0.06
2024-08-13T12:11:34,0.49,-0.31,-0.06
2024-08-13T12:11:34,0.24,-0.24,-0.06
2024-08-13T12:11:35,0.73,-0.31,-0.06
2024-08-13T12:11:35,0.61,-0.31,-0.06
2024-08-13T12:11:35,0.55,-0.24,-0.06
2024-08-13T12:11:35,0.18,-0.24,-0.06
2024-08-13T12:11:35,0.61,-0.31,-0.06
2024-08-13T12:11:36,0.55,-0.24,-0.06
2024-08-13T12:11:36,0.61,-0.24,-0.06
2024-08-13T12:11:36,0.79,-0.31,-0.12
2024-08-13T12:11:36,0.67,-0.31,-0.12
2024-08-13T12:11:37,0.61,-0.31,-0.06
2024-08-13T12:11:37,0.67,-0.31,-0.06
2024-08-13T12:11:37,0.67,-0.24,-0.12
